GDP/Cap,PM,CO2,PM_mass,CO2_mass
1000.00,103.00,13.00,29.17,0.39
2000.00,203.00,26.00,28.78,0.77
3000.00,301.00,38.00,28.40,1.15
4000.00,397.00,51.00,28.01,1.52
5000.00,490.00,63.00,27.63,1.89
6000.00,582.00,75.00,27.25,2.25
7000.00,671.00,87.00,26.87,2.60
8000.00,757.00,99.00,26.49,2.95
9000.00,842.00,111.00,26.12,3.29
10000.00,924.00,122.00,25.75,3.62
11000.00,1004.00,133.00,25.37,3.94
12000.00,1082.00,145.00,25.00,4.26
13000.00,1157.00,155.00,24.64,4.58
14000.00,1231.00,166.00,24.27,4.89
15000.00,1301.00,177.00,23.91,5.19
16000.00,1370.00,187.00,23.55,5.48
17000.00,1437.00,198.00,23.19,5.77
18000.00,1501.00,208.00,22.83,6.05
19000.00,1563.00,218.00,22.47,6.33
20000.00,1622.00,227.00,22.12,6.60
21000.00,1680.00,237.00,21.76,6.86
22000.00,1735.00,246.00,21.41,7.11
23000.00,1788.00,256.00,21.06,7.36
24000.00,1838.00,265.00,20.72,7.61
25000.00,1887.00,274.00,20.37,7.85
26000.00,1933.00,283.00,20.03,8.08
27000.00,1976.00,291.00,19.69,8.30
28000.00,2018.00,300.00,19.35,8.52
29000.00,2057.00,308.00,19.01,8.73
30000.00,2094.00,316.00,18.67,8.93
31000.00,2129.00,324.00,18.34,9.13
32000.00,2162.00,332.00,18.01,9.32
33000.00,2192.00,339.00,17.68,9.51
34000.00,2220.00,347.00,17.35,9.69
35000.00,2246.00,354.00,17.02,9.86
36000.00,2269.00,361.00,16.70,10.03
37000.00,2290.00,368.00,16.37,10.19
38000.00,2309.00,375.00,16.05,10.34
39000.00,2326.00,381.00,15.73,10.49
40000.00,2341.00,388.00,15.42,10.63
41000.00,2353.00,394.00,15.10,10.77
42000.00,2363.00,400.00,14.79,10.89
43000.00,2370.00,406.00,14.48,11.02
44000.00,2376.00,412.00,14.17,11.13
45000.00,2379.00,417.00,13.86,11.24
46000.00,2380.00,423.00,13.55,11.34
47000.00,2378.00,428.00,13.25,11.44
48000.00,2375.00,433.00,12.95,11.53
49000.00,2369.00,438.00,12.65,11.61
50000.00,2361.00,443.00,12.35,11.69
51000.00,2350.00,447.00,12.05,11.76
52000.00,2338.00,452.00,11.76,11.82
53000.00,2323.00,456.00,11.46,11.88
54000.00,2305.00,460.00,11.17,11.93
55000.00,2286.00,464.00,10.88,11.98
56000.00,2264.00,468.00,10.59,12.02
57000.00,2240.00,471.00,10.31,12.05
58000.00,2214.00,475.00,10.03,12.08
59000.00,2186.00,478.00,9.74,12.10
60000.00,2155.00,481.00,9.46,12.11
61000.00,2122.00,484.00,9.19,12.11
62000.00,2087.00,487.00,8.91,12.11
63000.00,2049.00,489.00,8.63,12.11
64000.00,2009.00,491.00,8.36,12.10
65000.00,1967.00,494.00,8.09,12.08
66000.00,1923.00,496.00,7.82,12.05
67000.00,1876.00,498.00,7.56,12.02
68000.00,1827.00,499.00,7.29,11.98
69000.00,1776.00,501.00,7.03,11.94
70000.00,1723.00,502.00,6.77,11.89
71000.00,1667.00,504.00,6.51,11.83
72000.00,1609.00,505.00,6.25,11.76
73000.00,1549.00,505.00,5.99,11.69
74000.00,1487.00,506.00,5.74,11.62
75000.00,1422.00,507.00,5.49,11.54
76000.00,1355.00,507.00,5.24,11.45
77000.00,1286.00,507.00,4.99,11.35
78000.00,1215.00,507.00,4.74,11.25
79000.00,1141.00,507.00,4.50,11.14
80000.00,1065.00,507.00,4.25,11.02
81000.00,987.00,506.00,4.01,10.90
82000.00,906.00,506.00,3.77,10.77
83000.00,824.00,505.00,3.54,10.64
84000.00,739.00,504.00,3.30,10.50
85000.00,651.00,503.00,3.07,10.35
86000.00,562.00,502.00,2.84,10.20
87000.00,470.00,500.00,2.61,10.04
88000.00,376.00,499.00,2.38,9.87
89000.00,280.00,497.00,2.15,9.70
90000.00,181.00,495.00,1.93,9.52
91000.00,80.00,493.00,1.71,9.34
92000.00,0.00,490.00,1.49,9.14
93000.00,0.00,488.00,1.27,8.95
94000.00,0.00,485.00,1.05,8.74
95000.00,0.00,482.00,0.84,8.53
96000.00,0.00,479.00,0.62,8.31
97000.00,0.00,476.00,0.41,8.09
98000.00,0.00,473.00,0.20,7.86
99000.00,0.00,470.00,0.00,7.62
100000.00,0.00,466.00,-0.21,7.38
101000.00,0.00,462.00,-0.41,7.13
102000.00,0.00,458.00,-0.41,6.87
103000.00,0.00,454.00,-0.41,6.61
104000.00,0.00,450.00,-0.41,6.34
105000.00,0.00,445.00,-0.41,6.07
106000.00,0.00,440.00,-0.41,5.79
107000.00,0.00,436.00,-0.41,5.50
108000.00,0.00,431.00,-0.41,5.21
109000.00,0.00,425.00,-0.41,4.91
110000.00,0.00,420.00,-0.41,4.60
111000.00,0.00,415.00,-0.41,4.28
112000.00,0.00,409.00,-0.41,3.96
113000.00,0.00,403.00,-0.41,3.64
114000.00,0.00,397.00,-0.41,3.31
115000.00,0.00,391.00,-0.41,2.97
116000.00,0.00,385.00,-0.41,2.62
117000.00,0.00,378.00,-0.41,2.27
118000.00,0.00,372.00,-0.41,1.91
119000.00,0.00,365.00,-0.41,1.55
120000.00,0.00,358.00,-0.41,1.18
121000.00,0.00,351.00,-0.41,0.80
122000.00,0.00,343.00,-0.41,0.41
123000.00,0.00,336.00,-0.41,0.02
124000.00,0.00,328.00,-0.41,-0.37